"repo","size"
"capstone-novice-spreadsheet-biblio",22694912
"shell-extras",1485824
"gap-lesson",2836480
"python-testing",1849344
"sage-lesson",1601536
"hpc-intro",32122880
"git-novice-branch-pr",10297344
"python-humanities-lesson",10149888
"spreadsheet-humanities-lesson",6487040
"sql-humanities-lesson",1781760
"OpenRefine-humanities-lesson",5187584
"lesson-ideas",2048
"python-business",45296640
"swc_github_flow",2631680
"ml4bio-workshop",99329024
"python-packaging-publishing",2379776
"git-Rstudio-course",4666368
"IoT_arduino_nano",34520064
"statistical-inference-for-biology",8174592
"swc-ext-python",6061056
"deep-learning-intro",17247232
"jupyter_maps",13468672
"SDC-BIDS-EEG-EEGLAB",12976128
"SDC-BIDS-fMRI",38662144
"SDC-EEGLAB",55083008
"introduction-to-conda-for-data-scientists",2779136
"machine-learning-novice-sklearn",12085248
"proposals",47104
"geospatial-python",82531328
"SDC-BIDS-dMRI",40243200
"docker-introduction",3045376
"lc-xml",2338816
"Data-Science-for-Docs",20297728
"jupyter-notebooks-intro",2334720
"cwl-novice-tutorial",5605376
"SDC-BIDS-IntroMRI",22260736
"workflows-snakemake",10590208
"open-science-with-r",88704000
"life-sciences-workshop",4358144
"lc-litsearchr",7116800
"tei-xml",13922304
"r-survival-analysis",14563328
"lesson-parallel-python",5493760
"pymarc_basics",2904064
"python-intermediate-inflammation",60416
"gpu-speedups",2415616
"python-intermediate-development",196951040
"jekyll-pages-novice",31836160
"organization",0
"eukref_pr2",2507776
"r-for-artists",2585600
"data-harvesting-for-agriculture",242992128
"template",2802688
"singularity-introduction",2612224
"camera-traps",56984576
"bioc-intro",750012416
"bioc-project",11453440
"bioc-rnaseq",21078016
"julia-novice",418816
"sql-business",26554368
"lesson-gpu-programming",18252800
"python-text-analysis",18715648
"java-intro",2672640
"study-groups",3123200
"microbial-amplicon-analysis",109568
"statistics-r-public-health",316416
"r-object-comparison-waldo",18432
"statistical-thinking-public-health",5912576
"simple-linear-regression-public-health",124154880
"multiple-linear-regression-public-health",43025408
"logistic-regression-public-health",23640064
"linear-mixed-models-public-health",18432
"workflows-nextflow",11041792
"machine-learning-novice-python",7494656
"machine-learning-novice-r",22528
"julia-data-workflow",1698816
"python-EOFDM-precursors",47104
"machine-learning-librarians-archivists",27835392
"latex-novice-typesetting",735232
"ide-novice-spyder",2484224
"python-pandas-power-consumption",83968
"java-novice-inflammation",22528
"frictionless-data-agriculture",81920
"proteomics-novice-qfeatures",171008
"shell-programming-course",2510848
"lesson-R-packaging",21857280
"citable-software",48128
"scrna-seq-analysis",38894592
"instructor-training-bonus-modules",2048
"relational-database-genealogy",22528
"SDC-BIDS-sMRI",1258332160
"good-enough-practices",1840128
"ml-python-supervised-learning",22528
"k8s-deployment-novice",22528
"snakemake-novice-bioinformatics",1067008
"high-dimensional-stats-r",364142592
"fair-bio-practice",138363904
"markdown-intro",3878912
"blogging-with-hugo-and-github-pages",4657152
"foundational-computer-skills",38912
"carpentries-incubator.org",2180096
"regex-novice-biology",2534400
"python-interactive-data-visualizations",5857280
"fair-for-leaders",26218496
"managing-computational-projects",9856000
".github",0
"python-novice-programming-gapminder",3248128
"machine-learning-trees-python",7750656
"machine-learning-responsible-python",20291584
"machine-learning-neural-python",6968320
"Reproducible-Publications-with-RStudio-Example",2257920
"Reproducible-Publications-with-RStudio",66911232
"R-ecology-lesson",732966912
"CarpentriesOffline_Instructor_Onboarding_obsolete",146432
"data-science-ai-senior-researchers",17236992
"r-ml-tabular-data",69399552
"gitlab-novice",5470208
"neuroimaging-workshop",103424
"zotero-intro",104448
"R-archaeology-lesson",51701760
"multidimensional-biodiversity-data",117760
"twitter-with-twarc",30953472
"carpentries-incubator.github.io",1024
"CarpentriesOffline_Instructor_Onboarding",4873216
"intro-data-viz",7376896
"hpc-workflows",10570752
"r-tidyverse-4-datasets",12474368
"Pipeline_Training_with_Nextflow",5953536
"iot-novice",11792384
"python-modeling-power-consumption",2002944
"python-classifying-power-consumption",1904640
"R-ecology-lesson-intermediate",1982464
"encode-data-exploration",1888256
"python_packaging",2440192
"metagenomics-workshop-1",75134976
"machine-learning-reinforcement-python",2897920
"scientific-metadata",48190464
"fair-data-management-agriculture",3786752
"metagenomics",1024
"shell-metagenomics",1024
"introduction-to-R-for-metagenomics",1024
"organization-metagenomics",1024
"metagenomics-workshop",1024
