"org","repo","size","readable","required"
"carpentries-incubator","capstone-novice-spreadsheet-biblio",22694912,"21.64MB","64.93MB"
"carpentries-incubator","shell-extras",1485824,"1.42MB","4.25MB"
"carpentries-incubator","gap-lesson",2836480,"2.71MB","8.12MB"
"carpentries-incubator","python-testing",1849344,"1.76MB","5.29MB"
"carpentries-incubator","sage-lesson",1601536,"1.53MB","4.58MB"
"carpentries-incubator","hpc-intro",32122880,"30.63MB","91.9MB"
"carpentries-incubator","git-novice-branch-pr",10297344,"9.82MB","29.46MB"
"carpentries-incubator","python-humanities-lesson",10149888,"9.68MB","29.04MB"
"carpentries-incubator","spreadsheet-humanities-lesson",6487040,"6.19MB","18.56MB"
"carpentries-incubator","sql-humanities-lesson",1781760,"1.7MB","5.1MB"
"carpentries-incubator","OpenRefine-humanities-lesson",5187584,"4.95MB","14.84MB"
"carpentries-incubator","python-business",45296640,"43.2MB","129.59MB"
"carpentries-incubator","ml4bio-workshop",99329024,"94.73MB","284.18MB"
"carpentries-incubator","python-packaging-publishing",2379776,"2.27MB","6.81MB"
"carpentries-incubator","git-Rstudio-course",4666368,"4.45MB","13.35MB"
"carpentries-incubator","IoT_arduino_nano",34520064,"32.92MB","98.76MB"
"carpentries-incubator","statistical-inference-for-biology",8174592,"7.8MB","23.39MB"
"carpentries-incubator","swc-ext-python",6061056,"5.78MB","17.34MB"
"carpentries-incubator","deep-learning-intro",17247232,"16.45MB","49.34MB"
"carpentries-incubator","jupyter_maps",13468672,"12.84MB","38.53MB"
"carpentries-incubator","SDC-BIDS-EEG-EEGLAB",12976128,"12.38MB","37.12MB"
"carpentries-incubator","SDC-BIDS-fMRI",38662144,"36.87MB","110.61MB"
"carpentries-incubator","SDC-EEGLAB",55083008,"52.53MB","157.59MB"
"carpentries-incubator","introduction-to-conda-for-data-scientists",2779136,"2.65MB","7.95MB"
"carpentries-incubator","machine-learning-novice-sklearn",12085248,"11.53MB","34.58MB"
"carpentries-incubator","geospatial-python",82531328,"78.71MB","236.12MB"
"carpentries-incubator","SDC-BIDS-dMRI",40243200,"38.38MB","115.14MB"
"carpentries-incubator","docker-introduction",3045376,"2.9MB","8.71MB"
"carpentries-incubator","lc-xml",2338816,"2.23MB","6.69MB"
"carpentries-incubator","Data-Science-for-Docs",20297728,"19.36MB","58.07MB"
"carpentries-incubator","jupyter-notebooks-intro",2334720,"2.23MB","6.68MB"
"carpentries-incubator","cwl-novice-tutorial",5605376,"5.35MB","16.04MB"
"carpentries-incubator","SDC-BIDS-IntroMRI",22260736,"21.23MB","63.69MB"
"carpentries-incubator","workflows-snakemake",10590208,"10.1MB","30.3MB"
"carpentries-incubator","open-science-with-r",88704000,"84.59MB","253.78MB"
"carpentries-incubator","life-sciences-workshop",4358144,"4.16MB","12.47MB"
"carpentries-incubator","lc-litsearchr",7116800,"6.79MB","20.36MB"
"carpentries-incubator","tei-xml",13922304,"13.28MB","39.83MB"
"carpentries-incubator","r-survival-analysis",14563328,"13.89MB","41.67MB"
"carpentries-incubator","lesson-parallel-python",5493760,"5.24MB","15.72MB"
"carpentries-incubator","pymarc_basics",2904064,"2.77MB","8.31MB"
"carpentries-incubator","gpu-speedups",2415616,"2.3MB","6.91MB"
"carpentries-incubator","python-intermediate-development",196951040,"187.83MB","563.48MB"
"carpentries-incubator","jekyll-pages-novice",31836160,"30.36MB","91.08MB"
"carpentries-incubator","eukref_pr2",2507776,"2.39MB","7.17MB"
"carpentries-incubator","r-for-artists",2585600,"2.47MB","7.4MB"
"carpentries-incubator","data-harvesting-for-agriculture",242992128,"231.74MB","695.21MB"
"carpentries-incubator","singularity-introduction",2612224,"2.49MB","7.47MB"
"carpentries-incubator","camera-traps",56984576,"54.34MB","163.03MB"
"carpentries-incubator","bioc-intro",750012416,"715.27MB","2.1GB"
"carpentries-incubator","bioc-project",11453440,"10.92MB","32.77MB"
"carpentries-incubator","bioc-rnaseq",21078016,"20.1MB","60.3MB"
"carpentries-incubator","julia-novice",418816,"409KB","1.2MB"
"carpentries-incubator","sql-business",26554368,"25.32MB","75.97MB"
"carpentries-incubator","lesson-gpu-programming",18252800,"17.41MB","52.22MB"
