"repo","size"
"archive-datacarpentry",45601792
"2014-07-24-beacon",1375232
"datacarpentry.github.io",440395776
"2014-09-29-iDigBio",20686848
"logos",1349632
"website-mock-ARCHIVED",99328
"presentations",8367104
"documents",1243136
"dc_zurich",11169792
"rr-publication",8898560
"rr-organization1",87450624
"rr-intro",7405568
"rr-automation",4923392
"2014-11-27-elixiruk-manchester",16627712
"2015-02-09-ucdavis",46069760
"communications",22556672
"shell-ecology-ARCHIVED",1052672
"sql-ecology-lesson",3833856
"genomics-hackathon",1024
"proposals",2048
"2015-05-03-NDIC",5943296
"2015-03-09-ISI-CODATA",51446784
"spreadsheet-ecology-lesson",8066048
"R-tidy-data-LoR-ARCHIVED",718848
"rnaseq-data-analysis-ARCHIVED",165799936
"2015-04-23-stanford",10109952
"semester-biology",403124224
"R-dplyr-ecology-archived",220160
"DEPRECATED-R-ggplot2-ecology",192512
"python-ecology-lesson",17466368
"2015-03-30-AAAS",517120
"DEPRECATED-cloud-genomics-orig",6412288
"shell-genomics",54282240
"R-genomics",5370880
"wrangling-genomics",69423104
"organization-genomics",4907008
"DEPRECATED-knowyourdata-genomics",4449280
"DEPRECATED-datadescription-genomics",1710080
"textmining-socialsci-ARCHIVED",2577408
"scripting-ecology",26624
"R-ecology-lesson",45086720
"lesson-template-ARCHIVED",106496
"planning",0
"OpenRefine-ecology-lesson",9845760
"workshop-template-ARCHIVED",1078272
"2015-05-14-wsu",2572288
"2015-05-30-HASTAC",16633856
"2015-07-22-JamesMadison",3686400
"rr-version-control",6554624
"2015-05-29-great-plains",17328128
"shell-libcatalogue",122880
"genomics-workshop",69750784
"2015-06-25-PNW",16567296
"data-genomics-ARCHIVED",134144
"2015-06-30-FederalReserveBoard",17199104
"2015-08-24-Sloan-Kettering",2775040
"2015-07-30-ASPB",709632
"python-neuroimaging-lesson",41567232
"2015-08-24-ISU",18294784
"2015-09-21-Genentech",9580544
"rr-workshop",2309120
"2015-09-23-TDWG",598016
"2015-09-22-UCDavis",3379200
"rr-literate-programming",50460672
"2015-11-04-ACUNS",49770496
"steering-committee",188416
"NEON-R-Tabular-Time-Series",23334912
"r-raster-vector-geospatial",259431424
"NEON-R-Spatial-Vector-deprecated",19791872
"NEON-R-Remote-Sensing",11018240
"organization-geospatial-DEPRECATED",19526656
"2015-11-23-caltech",2784256
"2015-12-07-Rijkzwaan",7374848
"hpc-carpentry",2048
"2016-01-19-sbu",1244160
"ecology-workshop",874496
"DEPRECATED-introduction-genomics",1258496
"2016-03-03-ucmp",1178624
"2016-04-04-gonzaga",1162240
"2016-05-26-NIH",1935360
"metrics",75776
"2016-05-29-PyCon",1174528
"2016-06-23-CC",1088512
"lesson-lesson",694272
"lesson-example",6541312
"reproduceR-workshop",0
"organization-reproduceR-lesson",84530176
"lesson-release",172032
"image-processing",166031360
"2017-06-17-stlouis",556032
"data-carpentry-r-ecology-lesson-datacamp",479232
"r-socialsci",228951040
"python-socialsci",4852736
"spreadsheets-socialsci",3670016
"openrefine-socialsci",3644416
"sql-socialsci",8354816
"socialsci-workshop",2355200
"policies",2048
"cloud-genomics",8223744
"2018-01-11-ucmerced",1709056
"geospatial-workshop",3167232
"genomics-r-intro",130674688
"curriculum-advisors",55296
"r-intro-geospatial",125488128
"organization-geospatial",284337152
"reports",491520
"genomics-infrastructure",0
"python-ecology-lesson-es",20951040
"stata-economics",18407424
"shell-economics",54131712
".github",5120
"astronomy-python",57513984
