"repo","size"
"city-november-2015",226304
"jekyll",89139200
"week-one-library-carpentry-DEPRECATED",866304
"week-two-library-carpentry-DEPRECATED",102824960
"week-three-library-carpentry-DEPRECATED",36864
"week-four-library-carpentry--DEPRECATED",3193856
"library-python",6976512
"data-intro-archives-DEPRECATED",458752
"swc-releases",90112
"lc-second-website",38236160
"lc-shell",158550016
"lc-webscraping",7247872
"lc-data-intro",8982528
"lc-open-refine",15610880
"lc-git",9750528
"lc-python-intro",4960256
"lc-sql",9895936
"lc-spreadsheets",5587968
"lc-data-intro-archives",2442240
"23-rd-things",2322432
"lc-fair-research",3281920
"lc-dig-pres",2210816
"governance",51531776
"lc-overview",2549760
"test",75704320
"lc-styleguide",9640960
"awesome-jupyter-glam",169984
"lc-wikidata",17209344
"lc-first-website",7595008
"librarycarpentry.github.io",92845056
"Top-10-FAIR",6728704
"lc-r",48515072
"lc-tdm",5451776
"lc-marcedit",5517312
".github",5120
"curriculum-advisors",37888
"lc-xml",1024
