"org","repo","size","readable","required"
"carpentries","instructor-training",61605888,"58.75MB","176.26MB"
"carpentries","instructor-training-bonus-modules",5030912,"4.8MB","14.39MB"
"datacarpentry","sql-ecology-lesson",3833856,"3.66MB","10.97MB"
"datacarpentry","spreadsheet-ecology-lesson",8066048,"7.69MB","23.08MB"
"datacarpentry","python-ecology-lesson",17466368,"16.66MB","49.97MB"
"datacarpentry","shell-genomics",54282240,"51.77MB","155.3MB"
"datacarpentry","wrangling-genomics",69423104,"66.21MB","198.62MB"
"datacarpentry","organization-genomics",4907008,"4.68MB","14.04MB"
"datacarpentry","R-ecology-lesson",45086720,"43MB","128.99MB"
"datacarpentry","OpenRefine-ecology-lesson",9845760,"9.39MB","28.17MB"
"datacarpentry","r-raster-vector-geospatial",259431424,"247.41MB","742.24MB"
"datacarpentry","image-processing",166031360,"158.34MB","475.02MB"
"datacarpentry","r-socialsci",228951040,"218.34MB","655.03MB"
"datacarpentry","python-socialsci",4852736,"4.63MB","13.88MB"
"datacarpentry","spreadsheets-socialsci",3670016,"3.5MB","10.5MB"
"datacarpentry","openrefine-socialsci",3644416,"3.48MB","10.43MB"
"datacarpentry","sql-socialsci",8354816,"7.97MB","23.9MB"
"datacarpentry","cloud-genomics",8223744,"7.84MB","23.53MB"
"datacarpentry","genomics-r-intro",130674688,"124.62MB","373.86MB"
"datacarpentry","r-intro-geospatial",125488128,"119.67MB","359.02MB"
"datacarpentry","organization-geospatial",284337152,"271.17MB","813.5MB"
"datacarpentry","python-ecology-lesson-es",20951040,"19.98MB","59.94MB"
"datacarpentry","stata-economics",18407424,"17.55MB","52.66MB"
"datacarpentry","shell-economics",54131712,"51.62MB","154.87MB"
"swcarpentry","shell-novice",10321920,"9.84MB","29.53MB"
"swcarpentry","sql-novice-survey",4416512,"4.21MB","12.64MB"
"swcarpentry","hg-novice",5169152,"4.93MB","14.79MB"
"swcarpentry","python-novice-inflammation",15228928,"14.52MB","43.57MB"
"swcarpentry","git-novice",11779072,"11.23MB","33.7MB"
"swcarpentry","matlab-novice-inflammation",7460864,"7.12MB","21.35MB"
"swcarpentry","r-novice-inflammation",11950080,"11.4MB","34.19MB"
"swcarpentry","r-novice-gapminder",168217600,"160.42MB","481.27MB"
"swcarpentry","make-novice",10405888,"9.92MB","29.77MB"
"swcarpentry","python-novice-gapminder",8123392,"7.75MB","23.24MB"
"swcarpentry","git-novice-es",7584768,"7.23MB","21.7MB"
"swcarpentry","shell-novice-es",8498176,"8.1MB","24.31MB"
"swcarpentry","r-novice-gapminder-es",81836032,"78.04MB","234.13MB"
"librarycarpentry","lc-shell",158550016,"151.21MB","453.62MB"
"librarycarpentry","lc-webscraping",7247872,"6.91MB","20.74MB"
"librarycarpentry","lc-data-intro",8982528,"8.57MB","25.7MB"
"librarycarpentry","lc-open-refine",15610880,"14.89MB","44.66MB"
"librarycarpentry","lc-git",9750528,"9.3MB","27.9MB"
"librarycarpentry","lc-python-intro",4960256,"4.73MB","14.19MB"
"librarycarpentry","lc-sql",9895936,"9.44MB","28.31MB"
"librarycarpentry","lc-spreadsheets",5587968,"5.33MB","15.99MB"
"librarycarpentry","lc-data-intro-archives",2442240,"2.33MB","6.99MB"
"librarycarpentry","23-rd-things",2322432,"2.21MB","6.64MB"
"librarycarpentry","lc-dig-pres",2210816,"2.11MB","6.33MB"
"librarycarpentry","lc-wikidata",17209344,"16.41MB","49.24MB"
"librarycarpentry","lc-r",48515072,"46.27MB","138.8MB"
"librarycarpentry","lc-marcedit",5517312,"5.26MB","15.79MB"
"TOTAL",NA,2246493184,"2.09GB","6.28GB"
