"repo","size"
"2012-04-02_UChicago",493568
"2012-10-lbl",1396736
"2012-10-ucb",1811456
"2012-10-caltech",1175552
"2012-06-inria",13612032
"2012-10-gmu",1986560
"2012-11-scripps",2757632
"DEPRECATED-boot-camps",125801472
"2012-11-uh",2311168
"2012-11-UNC",821248
"DEPRECATED-website",88273920
"DEPRECATED-lessons_4_0",208261120
"DEPRECATED-lessons_3_0",12072960
"2013-01-gzw",5678080
"2013-02-uw-ctb",1943552
"2013-02-uw-allen",102400
"DEPRECATED-guide",18299904
"2013-04-az",2354176
"DEPRECATED-site",108400640
"DEPRECATED-bc",78055424
"v3",7122944
"v4",214904832
"2013-09-16-stsci",112521216
"2013-08-23-harvard",10412032
"2013-10-09-canberra",22021120
"2013-10-24-greenwich",10674176
"2014-01-14-manchester",10289152
"2013-09-21-waterloo",10772480
"2014-02-11-toronto",12196864
"2014-01-27-indiana",12450816
"2014-01-20-montreal",12465152
"2014-01-31-ucsb",28966912
"2014-01-18-ucb",15479808
"2014-04-14-pycon",14714880
"2014-04-14-wise",43447296
"2014-02-15-umkc",12831744
"2014-01-27-Stanford",15785984
"iuse2014",14710784
"2014-03-17-nyu",13331456
"2014-03-17-uw",12965888
"2014-03-17-ucb",31336448
"2014-04-14-pycon-ngs",14010368
"2014-04-14-pycon-r",12905472
"2014-03-17-purdue",13058048
"2014-02-28-ethz",13045760
"2014-02-18-aims",12996608
"2011-11-07-toronto",159744
"2012-01-18-stsci",159744
"2012-02-20-itcp",159744
"2012-02-23-toronto",159744
"2012-03-07-indiana",159744
"2012-03-26-mbari",159744
"2012-03-28-nersc",159744
"2012-04-02-chicago",159744
"2012-04-14-utahstate",159744
"2012-04-30-ucl",159744
"2012-05-07-michiganstate",159744
"2012-05-14-newcastle",159744
"2012-05-16-alberta",159744
"2012-05-22-ubc",159744
"2012-06-18-jhu",159744
"2012-06-28-inria",159744
"2012-07-09-mit",159744
"2012-07-12-waterloo",159744
"2012-07-16-halifax",159744
"2012-07-19-utsc",159744
"2012-09-13-dafx",159744
"2012-09-17-oslo",159744
"2012-09-28-columbia",159744
"2012-10-08-purdue",159744
"2012-10-17-lbl",159744
"2012-10-18-ubc",159744
"2012-10-20-ucb",159744
"2012-10-22-newcastle",159744
"2012-10-23-caltech",159744
"2012-10-25-gmu",159744
"2012-10-30-oxford",159744
"2012-11-08-mcmaster",159744
"2012-11-10-wustl",159744
"2012-11-15-scripps",159744
"2012-11-28-unc",159744
"2012-11-30-hawaii",159744
"2012-12-04-edinburgh",159744
"2012-12-10-uta",159744
"2013-01-11-ubc",188416
"2013-01-12-chicago",159744
"2013-01-12-mcgill",159744
"2013-01-12-waterloo",159744
"2013-01-21-ubc",159744
"2013-01-22-tum",159744
"2013-01-24-camh",159744
"2013-01-25-tuebingen",159744
"2013-01-30-columbia",159744
"2013-01-31-vt",159744
"2013-02-05-ubc",159744
"2013-02-07-macquarie",159744
"2013-02-14-amos",163840
"2013-02-25-uwash",159744
"2013-03-04-lbl",159744
"2013-03-07-virginia",159744
"2013-03-20-aub",159744
"2013-03-23-utahstate",159744
"2013-03-24-kaust",159744
"2013-04-04-arizona",159744
"2013-04-04-ucl",159744
"2013-04-08-stellenbosch",159744
"2013-04-11-egi",188416
"2013-04-13-ucb",159744
"2013-04-18-manchester",159744
"2013-04-20-paris",159744
"2013-04-27-umaryland",159744
"2013-04-29-wisc",159744
"2013-05-02-vu",159744
"2013-05-06-geomar",159744
"2013-05-06-hhmi",159744
"2013-05-06-stanford",159744
"2013-05-09-lbl",159744
"2013-05-09-mozilla",159744
"2013-05-09-oxford",159744
"2013-05-13-ucdavis",159744
"2013-05-16-nescent",159744
"2013-05-18-krakow",159744
"2013-05-20-duke",159744
"2013-05-23-ucar",159744
"2013-05-23-umass",159744
"2013-05-30-alberta",159744
"2013-06-03-southampton",159744
"2013-06-03-tufts",159744
"2013-06-04-dssg",159744
"2013-06-06-sfu",159744
"2013-06-10-salk",159744
"2013-06-17-chicago",159744
"2013-06-24-wise",163840
"2013-06-25-scipy",188416
"2013-07-01-christchurch",159744
"2013-07-01-oklahoma",159744
"2013-07-03-oslo",159744
"2013-07-08-wuhan",159744
"2013-07-11-indiana",159744
"2013-07-15-bath",159744
"2013-07-15-vt",159744
"2013-07-16-cuahsi",159744
"2013-07-18-notredame",159744
"2013-07-18-washington",159744
"2013-07-27-cmu",159744
"2013-08-04-esa",159744
"2013-08-22-ku",159744
"2013-08-27-erdc",159744
"2013-08-28-wisc",159744
"2013-09-05-iowa",159744
"2013-09-12-bristol",159744
"2013-09-21-uwaterloo",176128
"2013-09-23-msu",159744
"2013-09-24-acpfgA",159744
"2013-09-26-ubc",159744
"2013-10-01-acpfgM",159744
"2013-10-29-vertpaleo",159744
"2013-11-14-whoi",176128
"2014-01-13-toronto",516096
"2014-03-17-nyu-R",24850432
"2014-04-02-uvic",22714368
"2014-04-28-training",1899520
"nuclearbrains",119808
"2014-05-12-oicr-toronto",23987200
"2014-06-16-toronto",26380288
"2014-06-24-wise-toronto",26265600
"2014-06-24-wise-penn",33957888
"2014-07-15-toronto",26452992
"2014-07-08-wise-toronto",26428416
"2014-07-10-esip",26258432
"2014-07-17-aspb",32707584
"windows-installer",74752
"2014-08-06-nypl",26987520
"2014-08-21-upenn",28450816
"2014-10-06-rotman",34179072
"2014-10-30-utoronto",33735680
